"","T1","RH_1","T2","T3","RH_3","T6","RH_6","RH_7","RH_8","RH_9","T_out","RH_out","Windspeed","Appliances"
"2642",0.347560975397828,0.297569716698943,0.260714285714286,0.28235294117647,0.212114860451083,0.333382712391675,0.77812391827622,0.299176181572363,0.304909560852713,0.412736661202627,0.382857142857143,0.654589372028985,0.428571428571429,40
"8658",0.725609756264872,0.354686975057747,0.702380952380952,0.387058823529412,0.324669880386642,0.675703034219687,0.295223260643821,0.390229802050908,0.37984496124031,0.507573149654463,0.644897959183674,0.364734299565217,0.273809523785714,40
"7557",0.660365853255874,0.395341023654308,0.419345238095238,0.341176470588235,0.356109830089312,0.460657235278868,0.661786085150571,0.669171845594619,0.604651162790698,0.505679862563566,0.453061224489796,0.942028985507246,0.214285714285714,60
"11015",0.67865853617155,0.3684623138384,0.293650794047619,0.387058823529412,0.312093900505574,0.253203466409896,0.503089304257529,0.333429686419053,0.344961240310078,0.409638554490596,0.342857142857143,0.826086956521739,0.0714285714285714,60
"4480",0.548780487470256,0.30587331822021,0.462585034523809,0.151764705882353,0.30957870452936,0.49924344230057,0.559813084112149,0.287902876179781,0.258963178294574,0.538511187687003,0.512244897959184,0.521739130434783,0.321428571428571,60
"9472",0.45731707289188,0.462537798194078,0.20992063452381,0.423529411764706,0.385663382809822,0.366713576772091,0.587642782969886,0.576865635579833,0.341240310077519,0.607573149809368,0.361224489795918,0.86231884057971,0.357142857142857,70
"7242",0.757926828196386,0.485944674770759,0.562698413095238,0.387058823529412,0.3630266190239,0.510283188911932,0.41156109376947,0.40713976013978,0.33049095620155,0.426333907155536,0.475510204081633,0.731884057971015,0.226190476214286,140
"10877",0.660365853255874,0.420875797979421,0.297619047619048,0.563529411764706,0.387549779791983,0.280547119954077,0.525025960539979,0.430181900770369,0.422480620155039,0.662478485256028,0.348163265306122,0.908212560434783,0.0714285714285714,60
"11102",0.616463414258254,0.253891813248092,0.694444444047619,0.387058823529412,0.149234961045742,0.720144186726909,0,0.197456279837759,0.197674418604651,0.209466437313345,0.644897959183674,0.326086956521739,0.297619047642857,50
"4858",0.091463414578376,0.341583604022492,0.0702380952380952,0.129411764705882,0.33158666932123,0.311532479075624,0.784631360332295,0.398901575429817,0.527131782945737,0.541996557738039,0.318367346938775,0.869565217391304,0.535714285714286,40
"6756",0.45731707289188,0.305521335131477,0.238095238095238,0.255,0.228935233542011,0.461891711725057,0.466597438525441,0.303512068261817,0.423514212015504,0.366265060522157,0.421632653061224,0.712560386521739,0.214285714285714,190
"8845",0.477439024099123,0.45917795946709,0.345238095238095,0.294117647058824,0.374973799910915,0.696689134138212,0.442713741744548,0.580575227717962,0.488372093023256,0.479862306629972,0.751020408163265,0.594202898550725,0.357142857142857,50
"77",0.294512194942371,0.623474073216827,0.379761904761905,0.151764705882353,0.815133095748299,0.390538972409451,0.973277950882658,0.972394855032865,0.945736434108527,0.956626506031562,0.397142857142857,0.908212560434783,0.3095238095,40
"3151",0.404268292436422,0.510583491990014,0.333333333333333,0.254117647058824,0.544749528305334,0.406463718724539,0.900969193457944,0.683480271669819,0.609560723643411,0.63948364894329,0.412244897959184,0.855072463768116,0.285714285714286,250
"4085",0.640243902048632,0.236084667995053,0.416666666666667,0.328235294117647,0.123454202289553,0.152285015924746,0.589823468328141,0.0823818470996361,0.239922480620155,0.374698795288348,0.190489795918367,0.758454106231884,0.0952380952142857,110
"7969",0.731707316627008,0.342703550152827,0.476190476190476,0.423529411764706,0.293229930683972,0.50781423598252,0.525441329179647,0.431998843681457,0.300904392635659,0.373149741932332,0.546938775510204,0.623188405797101,0.428571428571429,100
"1320",0.404268292436422,0.487064620901094,0.464285714285714,0.223529411764706,0.539090337358854,0.44979384241908,0.962893734890966,0.65286409403857,0.612403100775194,0.640275387153137,0.43265306122449,0.850241545942029,0.345238095214286,80
"4410",0.439024389976204,0.32478441038755,0.320238095238095,0.210588235294118,0.39446656872657,0.301656667395008,0.836240913811007,0.405838994132944,0.612403100775194,0.53700516341876,0.3,0.942028985507246,0.416666666642857,50
"2680",0.182926829156752,0.331168103968828,0.170634920238095,0.164705882352941,0.289187651705971,0.406463718724539,0.910695742471443,0.414510767511853,0.587015503875969,0.500688468244288,0.412244897959184,0.905797101449275,0.678571428571429,50
"4324",0.507926829568338,0.408780378562262,0.507539682142857,0.188235294117647,0.381890588845502,0.606448904895934,0.31003807549325,0.30134412491709,0.307235142248062,0.561101549128898,0.520408163265306,0.463768115942029,0.642857142857143,80
"5385",0.477439024099123,0.284466345663688,0.260714285714286,0.117647058823529,0.300146719618559,0.369429424968521,0.531914157113188,0.395721925335413,0.364341085271318,0.230636833178892,0.393061224489796,0.603864734347826,0.119047619071429,40
"7356",0.587195121593174,0.364766491238713,0.404761904761905,0.341176470588235,0.345839446729373,0.601510999185245,0.435444790550364,0.50252926730778,0.414341085271318,0.371600688576316,0.548163265306122,0.695652173913043,0.345238095214286,90
"9213",0.67865853617155,0.499160040318253,0.535714285714286,0.525490196470588,0.3630266190239,0.743599239685949,0.245032883385254,0.627511201131307,0.450775193798449,0.586919105062492,0.653061224489796,0.70048309173913,0.3095238095,120
"2260",0.365853658313504,0.25758763584778,0.201190476190476,0.176470588235294,0.365122615461145,0.0300718465298867,0.813084112149533,0.281832634814544,0.462403100775194,0.452151463089131,0.0653061224489796,0.811594202898551,0.142857142857143,50
"5596",0.312804877858046,0.279762571445904,0.162698413095238,0.129411764705882,0.249214001100234,0.278201614695208,0.753478712357217,0.396010984158984,0.37842377248062,0.395869191153895,0.293877551020408,0.847826086956522,0.107142857142857,50
"11396",0.823170731205384,0.119834248041251,0.761904761904762,0.383137255294117,0.19513728761164,0.800014813717502,0,0.143084260751999,0.143023255813953,0.204819277245298,0.812244897959184,0.108695652173913,0.5,80
"2363",0.519512194805176,0.241908388343172,0.420238095238095,0.115294117647058,0.226954516710743,0.162531170542923,0.775008653478712,0.216505275215567,0.353875968992248,0.286919105114128,0.170081632653061,0.869565217391304,0.142857142857143,30
"6650",0.548780487470256,0.289842087626869,0.367857142857143,0.265490196470588,0.154894151992223,0.485593659728909,0.490411907268951,0.273160861435635,0.248062015503876,0.3562822718836,0.441632653061225,0.806763285072464,0.285714285714286,90
"6990",0.660365853255874,0.328144249114538,0.345238095238095,0.352941176470588,0.261789980981302,0.400414784090067,0.638940809968847,0.394132100071417,0.53204134379845,0.452151463089131,0.368571428571429,0.88888888884058,0.142857142857143,50
"1058",0.98780487744646,0.466793594026925,0.855952380952381,0.588235294117647,0.631104589945736,0.493864651988742,0.651782623779855,0.50491400498698,0.519311445348837,0.503786574956319,0.513061224489796,0.550724637681159,0.654761904785714,90
"497",0.861585365328302,0.393661104290814,0.702380952380952,0.250588235294118,0.685600502973297,0.272029232390193,0.975077881619938,0.833935539793892,0.771317829457364,0.860585197958591,0.286938775510204,0.797101449275362,0.738095237857143,50
"11552",0.879878048243977,0.37171015805315,0.809523809523809,0.485882352941176,0.214001257433243,0.922598326049922,0,0.296698531911649,0.329069767441861,0.271428571553971,0.930612244897959,0.210144927536232,0.285714285714286,120
"11605",0.751829267834251,0.32478441038755,0.507539682142857,0.517647058823529,0.33158666932123,0.622620546626176,0.093804084423676,0.567567567649598,0.574806201550388,0.445611015413836,0.648979591836735,0.492753623188406,0.285714285714286,70
"1946",0.385975609520747,0.452458282013113,0.289682539285714,0.14,0.576189478008004,0.312643507888305,0.94392523364486,0.642361613042688,0.584819121317829,0.574698795081807,0.297142857142857,0.898550724637681,0.428571428571429,50
"3402",0.439024389976204,0.331168103968828,0.304761904761905,0.198823529411764,0.415216935530332,0.234994938634175,0.870439598442368,0.588132058619473,0.546511627906977,0.483648881328115,0.219714285714286,0.850241545942029,0.0952380952142857,30
